Generation : 1 - best_genome = [0, [7.6199, 8.3929, 1.6879, 1.9477], [0.4451, 0.8512, 0.8884, 0.252, 0.7103, 0.8321]], avg_fitness = 0.0
Generation : 2 - best_genome = [10, [9.541, 8.7476, 0.4224, 4.8626], [0.2191, 0.1938, 0.6744, 0.2092, 0.3253, 0.6407]], avg_fitness = 1.0
Generation : 3 - best_genome = [0, [9.541, 3.2389, 8.3021, 4.8626], [0.2191, 0.948, 0.8703, 0.2092, 0.3253, 0.6407]], avg_fitness = 0.0
Generation : 4 - best_genome = [10, [9.7265, 8.7476, 0.4224, 4.8626], [0.9525, 0.948, 0.8703, 0.2092, 0.3253, 0.6407]], avg_fitness = 0.5
Generation : 5 - best_genome = [0, [9.7265, 8.7476, 8.3021, 4.8626], [0.018, 0.948, 0.4411, 0.2092, 0.2746, 0.6407]], avg_fitness = 0.0
Generation : 6 - best_genome = [0, [9.9786, 8.7476, 8.3021, 4.8626], [0.9525, 0.948, 0.8681, 0.9796, 0.3253, 0.6407]], avg_fitness = 0.0
Generation : 7 - best_genome = [0, [9.9786, 8.7476, 8.3021, 4.8626], [0.9525, 0.948, 0.9953, 0.9796, 0.6124, 0.6407]], avg_fitness = 0.0
Generation : 8 - best_genome = [0, [9.9786, 8.7476, 9.4368, 4.8626], [0.9525, 0.948, 0.8703, 0.9796, 0.0828, 0.3496]], avg_fitness = 0.0
Generation : 9 - best_genome = [0, [9.9786, 8.7476, 9.4368, 4.8626], [0.9771, 0.9699, 0.8703, 0.9796, 0.6124, 0.0638]], avg_fitness = 0.0
Generation : 10 - best_genome = [0, [9.9786, 8.7476, 9.4368, 8.2247], [0.9771, 0.9699, 0.6171, 0.9796, 0.6124, 0.0638]], avg_fitness = 0.0
Generation : 11 - best_genome = [10, [9.9786, 8.7476, 9.4368, 8.2247], [0.9771, 0.9699, 0.8703, 0.9796, 0.6124, 0.0638]], avg_fitness = 0.5
Generation : 12 - best_genome = [10, [9.9786, 8.7476, 9.4368, 8.2247], [0.9771, 0.9699, 0.8703, 0.9796, 0.6124, 0.0638]], avg_fitness = 0.5
Generation : 13 - best_genome = [0, [9.9786, 8.7476, 9.4368, 8.2247], [0.9771, 0.9699, 0.8703, 0.9796, 0.6124, 0.0638]], avg_fitness = 0.0
Generation : 14 - best_genome = [0, [9.9786, 9.0588, 8.267, 8.2247], [0.9771, 0.9699, 0.8703, 0.9796, 0.6124, 0.0638]], avg_fitness = 0.0
Generation : 15 - best_genome = [0, [9.9786, 9.1422, 9.9799, 8.2247], [0.9771, 0.2969, 0.4659, 0.9796, 0.6124, 0.0638]], avg_fitness = 0.0
Generation : 16 - best_genome = [0, [9.9786, 9.1422, 9.9799, 8.2247], [0.9771, 0.9699, 0.8703, 0.9796, 0.2285, 0.9348]], avg_fitness = 0.0
Generation : 17 - best_genome = [0, [7.9898, 9.1422, 9.9799, 8.2247], [0.9771, 0.9699, 0.8703, 0.9796, 0.6124, 0.9348]], avg_fitness = 0.0
Generation : 18 - best_genome = [0, [9.9786, 9.1422, 9.9799, 8.2247], [0.9771, 0.9699, 0.8703, 0.9796, 0.6124, 0.9348]], avg_fitness = 0.0
Generation : 19 - best_genome = [0, [9.9827, 9.1422, 9.9799, 2.1566], [0.9771, 0.9699, 0.0537, 0.9796, 0.6124, 0.9348]], avg_fitness = 0.0
Generation : 20 - best_genome = [0, [9.9827, 9.1422, 9.9799, 9.4018], [0.9771, 0.1349, 0.8671, 0.9796, 0.6124, 0.9348]], avg_fitness = 0.0
Generation : 21 - best_genome = [0, [9.9827, 9.1422, 9.9799, 9.4018], [0.9771, 0.9699, 0.7067, 0.9796, 0.8805, 0.9348]], avg_fitness = 0.0
Generation : 22 - best_genome = [0, [9.9827, 9.1422, 9.9799, 6.6679], [0.9771, 0.9699, 0.7067, 0.9796, 0.2998, 0.9348]], avg_fitness = 0.0
Generation : 23 - best_genome = [0, [9.9827, 9.1422, 9.9799, 9.4018], [0.9771, 0.9699, 0.5195, 0.9796, 0.1244, 0.9348]], avg_fitness = 0.0
